Unique Well ID,Region,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo Monthly WTR  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
100/13-16-077-14W6/00,south_graben,OVINTIV CANADA ULC,4552752,109690,868482,27229,12473,2379,5094,8263,2018,2785,100,28,Plug and Perf,2,5544,SW,478.3
103/01-35-077-15W6/00,south_graben,OVINTIV CANADA ULC,4283001,125853,839687,32997,11734,2301,5387,8578,2018,3049,102,30,Plug and Perf,1.8,5334,SW,430.7
100/13-26-077-15W6/00,south_graben,OVINTIV CANADA ULC,4278742,169076,882199,40013,11723,2417,6195,8546,2018,3841,101,38,Plug and Perf,1.8,6862,SW,441.7
100/08-35-077-15W6/00,south_graben,OVINTIV CANADA ULC,4196318,95509,794896,46579,11497,2178,5530,8542,2018,3049,102,30,Plug and Perf,1.8,5355,SW,429.5
100/07-15-080-19W6/00,south_graben,SHELL CANADA LIMITED,4185992,4,697670,21629,11437,1906,4739,8534,2019,2167,56,39,Ball and Seat/Coil Tubing,0.9,1999,SW,250.1
102/11-18-079-17W6/00,south_graben,OVINTIV CANADA ULC,4152114,3547,695566,99772,11345,1901,4459,7471,2015,1957,115,17,Plug and Perf,2.7,5332.3,SW,1077.9
100/03-18-078-16W6/00,south_graben,OVINTIV CANADA ULC,4081870,0,680312,43744,11183,1864,5845,7884,2017,2977,66,45,Ball and Seat/Plug and Perf,1.4,4170,SW,676.7
100/04-21-077-14W6/00,south_graben,OVINTIV CANADA ULC,4077050,118469,797977,24316,11170,2186,5321,8266,2018,2905,100,29,Plug and Perf,2,5740.2,SW,498.8
100/01-17-078-16W6/00,south_graben,OVINTIV CANADA ULC,4073666,801,679746,27344,11161,1862,5615,7915,2017,2864,73,39,Ball and Seat/Plug and Perf,1.2,3312,SW,645.6
102/15-13-077-15W6/00,south_graben,OVINTIV CANADA ULC,4048480,52664,727410,41389,11092,1993,5166,7526,2014,2668,127,21,Plug and Perf,1.3,3505,SW,705.7
100/05-15-080-19W6/00,south_graben,SHELL CANADA LIMITED,3999898,4,666654,123765,10929,1822,5650,8426,2019,3059,30,102,Ball and Seat/Coil Tubing,1.7,5097,SW,232.6
102/13-19-080-19W6/00,south_graben,SHELL CANADA LIMITED,3957622,8,659612,34501,10843,1807,6186,8261,2018,3429,54,63,Ball and Seat/Coil Tubing,0.9,3150.9,SW,227.8
100/02-27-078-17W6/00,south_graben,OVINTIV CANADA ULC,3942370,0,657062,73623,10801,1800,5697,7865,2017,3026,78,39,Ball and Seat/Plug and Perf,1.2,3483,SW,583.1
102/05-15-080-19W6/00,south_graben,SHELL CANADA LIMITED,3863219,4,643874,52409,10555,1759,5612,7997,2019,3123,56,56,Ball and Seat/Coil Tubing,0.9,2800,SW,238.7
102/04-21-077-14W6/00,south_graben,OVINTIV CANADA ULC,3806405,108680,743081,37151,10429,2036,5045,8278,2018,2641,98,27,Plug and Perf,2,5242,SW,485
102/04-15-080-19W6/00,south_graben,SHELL CANADA LIMITED,3726251,5,621047,50374,10181,1697,5451,7805,2019,2829,56,51,Ball and Seat/Coil Tubing,0.9,2550,SW,233.8
100/10-18-077-14W6/00,south_graben,OVINTIV CANADA ULC,3723786,79068,699699,48248,10202,1917,6688,8131,2017,4081,63,65,Plug and Perf,1.4,5794,SW,465.2
100/11-24-077-15W6/00,south_graben,OVINTIV CANADA ULC,3655280,80189,689402,45117,10015,1889,6365,8297,2016,3601,190,19,Ball and Seat/Plug and Perf,0.9,3119.8,SW,959
102/02-29-078-17W6/00,south_graben,ARC RESOURCES LTD.,3617726,0,602954,29072,9885,1647,4953,6113,2019,2437,122,20,Plug and Perf,1.4,3390.8,SW,675.9
100/01-35-077-15W6/00,south_graben,OVINTIV CANADA ULC,3587440,147444,745351,46417,9829,2042,5668,7063,2017,3096,72,43,Plug and Perf,2.9,9095.4,SW,820.3
100/16-22-079-18W6/00,south_graben,SHELL CANADA LIMITED,3583149,9,597200,52526,9817,1636,5855,7860,2017,3113,56,56,Ball and Seat/Coil Tubing,0.9,2791.4,SW,251
103/01-11-080-19W6/00,south_graben,SHELL CANADA LIMITED,3567120,6,594526,205176,9773,1629,5752,7872,2017,3048,55,55,Ball and Seat/Coil Tubing,0.9,2753.6,SW,261.2
100/14-19-080-19W6/00,south_graben,SHELL CANADA LIMITED,3544120,0,590687,34954,9710,1618,5535,8239,2018,2898,54,54,Ball and Seat/Coil Tubing,0.9,2701.4,SW,240.1
102/14-14-077-15W6/00,south_graben,OVINTIV CANADA ULC,3544031,82948,673620,44406,9710,1846,6603,7848,2017,5268,94,56,Plug and Perf,1,5070.6,SW,514.9
100/08-30-077-14W6/00,south_graben,OVINTIV CANADA ULC,3541881,75240,665554,51058,9704,1823,6120,8194,2018,3745,104,36,Plug and Perf,1.5,5646.9,SW,494.2
103/05-15-080-19W6/00,south_graben,SHELL CANADA LIMITED,3525851,4,587646,100644,9634,1606,5664,8369,2019,3157,56,56,Ball and Seat/Coil Tubing,0.9,2800,SW,244.9
100/14-14-077-15W6/00,south_graben,OVINTIV CANADA ULC,3507572,75372,659968,40961,9610,1808,6670,7848,2017,3877,66,59,Plug and Perf,1.4,5489.8,SW,471.8
102/16-02-080-19W6/00,south_graben,SHELL CANADA LIMITED,3503529,0,583922,4191,9599,1600,5758,7723,2017,3018,55,55,Ball and Seat/Coil Tubing,0.9,2753.7,SW,253
100/08-11-080-19W6/00,south_graben,SHELL CANADA LIMITED,3483753,6,580631,95399,9545,1591,5708,7733,2017,3033,55,55,Ball and Seat/Coil Tubing,0.9,2753.8,SW,248.1
