Unique Well ID,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
102/16-11-080-16W6/00,TOURMALINE OIL CORP.,864669,135,144246,2369,395,4148,4380,2017,1587,43,37,Ball and Seat ,0.90,1412,SW,333.3
104/15-12-081-21W6/00,SHELL CANADA LIMITED,735121,0,122520,2014,336,4036,4380,2014,1650,92,18,Ball and Seat ,0.60,1026,SW,423.1
102/06-09-080-20W6/00,SHELL CANADA LIMITED,347002,0,57834,951,158,4916,4380,2014,2258,251,9,Plug and Perf,0.60,1302,SW,910.3
105/15-12-081-21W6/00,SHELL CANADA LIMITED,699213,0,116535,1916,319,4048,4387,2014,1613,90,18,Ball and Seat ,0.70,1068,SW,474.5
100/14-19-078-19W6/00,SHELL CANADA LIMITED,516378,0,86063,1411,235,4645,4394,2011,1800,225,8,Plug and Perf,0.60,1148,SW,720.7
102/08-21-080-18W6/00,SHELL CANADA LIMITED,1491977,0,248663,4088,681,4745,4397,2017,2089,54,39,Ball and Seat ,0.90,1924,SW,266.8
106/10-12-081-21W6/00,SHELL CANADA LIMITED,666476,0,111079,1826,304,4157,4404,2014,1649,92,18,Ball and Seat ,0.70,1068,SW,406.0
102/01-23-084-24W6/00,ARC RESOURCES LTD.,391085,56586,121767,1278,398,4246,4418,2020,2196,69,32,Plug and Perf,2.00,4375,SW,529.9
100/05-02-082-20W6/00,CANADIAN NATURAL RESOURCES LIMITED,419828,0,69971,1150,192,4025,4426,2013,1996,200,10,Plug and Perf,0.30,666,SW,1166.5
102/04-30-080-18W6/00,SHELL CANADA LIMITED,505363,0,84227,1385,231,4368,4428,2012,1594,76,21,Ball and Seat,0.30,505,SW,413.3
102/01-15-079-18W6/00,SHELL CANADA LIMITED,775492,0,129249,2119,353,4717,4445,2011,2208,221,10,Plug and Perf,0.60,1395,SW,676.5
100/13-29-077-15W6/00,OVINTIV CANADA ULC,633429,476,106048,1735,291,4290,4445,2009,1870,208,9,Ball and Seat ,0.50,918,WB,161.6
102/01-04-082-19W6/00,CANADIAN NATURAL RESOURCES LIMITED,827034,0,137839,2266,378,3320,4452,2010,1048,150,7,Plug and Perf,0.60,658,WB,708.7
102/04-29-080-18W6/00,SHELL CANADA LIMITED,725942,0,120990,1983,331,4270,4452,2012,1769,111,16,Ball and Seat/Plug and Perf,0.60,1072,SW,387.5
100/16-31-080-15W6/00,TOURMALINE OIL CORP.,641653,324,107266,1758,294,3112,4454,2012,863,51,17,Ball and Seat ,1.10,940,SW,290.6
100/05-30-080-15W6/00,TOURMALINE OIL CORP.,2145235,57,357596,5861,977,3650,4457,2015,1284,49,26,Ball and Seat ,1.00,1305,SW,299.4
102/12-20-080-15W6/00,TOURMALINE OIL CORP.,370589,5031,66796,1015,183,3930,4464,2016,1433,72,20,Plug and Perf,1.20,1661,SW,654.8
102/01-06-081-15W6/00,TOURMALINE OIL CORP.,630501,476,105559,1727,289,3076,4471,2012,930,66,14,Ball and Seat ,0.80,770,SW,211.5
